rank,headline,description,link
0,Biden at odds with allies as U.S. and Israel attack ICC,France and Belgium were among a number of countries to defend the independence of the International Criminal Court.,https://news.yahoo.com//biden-odds-allies-u-israel-164219390.html
1,2 sets of earthquake swarms have hit California. What's going on?,Not Available,https://news.yahoo.com//california-mexico-border-hit-second-164749356.html
2,Iconic Mount Fuji view blocked to foil rule-breaking tourists,Not Available,https://news.yahoo.com//japan-blocks-iconic-mt-fuji-052846080.html
3,"Solo climber dies after fall from Denali, highest peak in North America",Not Available,https://news.yahoo.com//climber-found-dead-falling-off-072900527.html
4,"After backlash, Trump pulls social media post with reference to 'unified Reich'",Not Available,https://news.yahoo.com//backlash-trump-pulls-social-media-142823222.html
5,"1 dead, 7 critically injured as Singapore Airlines flight hits severe turbulence",Not Available,https://news.yahoo.com//singapore-airlines-flight-makes-emergency-101951045.html
6,Trump trial live updates: Defense expected to rest one day after prosecution finished presenting its criminal hush money case,Closing arguments are set to begin next week.,https://www.yahoo.com/news/live/trump-trial-live-updates-defense-rests-without-calling-the-former-president-to-the-stand-123557921.html
7,"Cannes red carpet 2024: Classic silhouettes, daring designs, whimsical creations and more",Celebrities have descended on the south of France in style.,https://www.yahoo.com/entertainment/cannes-red-carpet-2024-classic-silhouettes-daring-designs-whimsical-creations-and-more-004427774.html
8,"2024 election: Your guide to all the key primaries, debates and what happens next","Up next: Alaska and Wyoming, which are holding Democratic primaries on April 13, followed by Puerto Rico's Republican primary on April 21.",https://www.yahoo.com/news/elections-2024-guide-key-dates-primary-schedule-debates-election-day-153839555.html
9,"2024 election primaries: Biden, Trump delegate tracker and updated results","Visual presentation of the 2024 primary election schedule, results in each state and the latest delegate counts for each candidate.",https://www.yahoo.com/news/2024-election-primaries-biden-trump-delegate-tracker-and-updated-results-201418715.html
10,Rudy Giuliani and other Trump allies plead not guilty in alleged election conspiracy,He appeared without a lawyer at a hearing on whether he tried to illegally overturn the 2020 election.,https://news.yahoo.com//trump-allies-including-rudy-giuliani-143822988.html
11,All the GOP politicians who've flocked to Trump's Manhattan trial to support him,"Republicans are showing up to the trial to show loyalty to Trump. Some may be hoping to boost their VP chances, too.",https://news.yahoo.com//gop-politicians-whove-flocked-trumps-174310968.html
12,Bill Zito epitomizes the Panthers’ ‘no ego’ mentality — and has them looking like contenders,‘Bill’s connected to every piece of this.’,https://news.yahoo.com//sports/bill-zito-epitomizes-panthers-no-184656760.html
13,The richest person in every state,Forbes determined the richest person in all 50 states. Here's how these powerful industry leaders became so wealthy.,https://news.yahoo.com//entertainment/richest-person-every-state-184652388.html
14,Man charged with spying for Hong Kong found dead,A former Royal Marine charged with assisting the Hong Kong intelligence service has died.,https://news.yahoo.com//man-charged-spying-hong-kong-184449071.html
15,'I'd love five in a row' - Man City fans on title win & ambitions,Does winning trophies still mean as much to Manchester City supporters? Do they think Pep Guardiola's side get enough credit? We spoke to four fans to find out.,https://news.yahoo.com//sports/id-love-five-row-man-184357173.html
16,Turbulence passenger saw objects 'flying in air',Stockton man Andrew Davies speaks of his experience on the flight to Singapore hit by severe turbulence.,https://news.yahoo.com//turbulence-passenger-saw-objects-flying-183649322.html
17,Wildlife rescue wins appeal against council notice,Nuneaton & Warwickshire Wildlife Rescue had been served a council abatement notice in regards to odour.,https://news.yahoo.com//wildlife-rescue-wins-appeal-against-183621354.html
18,Arrests after cars stolen in Redhill break-in,"Two men, aged 20 and 23, have been arrested on suspicion of burglary, police say.",https://news.yahoo.com//arrests-cars-stolen-redhill-break-183431882.html
19,"Trump's defense blundered by calling its last witness, who looked ""even less competent"" than Cohen",Legal experts said Robert Costello's time on the stand only ended up hurting Trump's defense,https://news.yahoo.com//trumps-defense-blundered-calling-last-183427365.html
20,"""These documents are fraudulent"": Elvis' granddaughter Riley Keough sues to stop sale of Graceland",The actress is denying claims that the late Lisa Marie Presley had put the estate's deed up as security,https://news.yahoo.com//entertainment/documents-fraudulent-elvis-granddaughter-riley-183354172.html
21,Striker Bodin announces departure from Oxford,"Oxford United forward Billy Bodin has announced he is leaving the club following their promotion to the Championship for next season.  The 32-year-old, who signed from Preston North End in 2021, signed a new two-year contract in June 2022.  Bodin scored five goals in 36 games in League One this season with 17 of appearances from the bench.",https://news.yahoo.com//sports/striker-bodin-announces-departure-oxford-183239187.html
22,Pochettino leaves Chelsea after one season,Chelsea manager Mauricio Pochettino leaves the club after one season at Stamford Bridge.,https://news.yahoo.com//sports/pochettino-leaves-chelsea-one-season-183043891.html
23,Passengers tell of horror aboard turbulence-hit flight,"One person has died, with several injured, after severe turbulence on a London to Singapore flight.",https://news.yahoo.com//one-dead-london-singapore-flight-101745384.html
24,Turbulence on horror flight 'like falling off a cliff',"Jerry, from Reading, had been travelling with family when the flight hit the severe conditions.",https://news.yahoo.com//turbulence-horror-flight-falling-off-182212407.html
25,Swifties who met at the Eras Tour last year just got engaged. Their proposal involved a friendship bracelet.,"Kayla McCarty and Kat Messinger met at a Chicago Eras Tour show in 2023. They credit Taylor Swift with being involved in ""every step"" of their relationship.",https://news.yahoo.com//swifties-met-eras-tour-last-181944192.html
26,"Fierce storms leave 140,000 Texans without power for days","Days after a deadly storm, more than 140,000 people are without power - and air conditioning.",https://news.yahoo.com//fierce-storms-leave-140-000-165313699.html
27,'Andytown Apache' welcomed back to west Belfast,Boxer Anthony Cacace returned home to hundreds of friends and neighbours celebrating his success winning the IBF featherweight title.,https://news.yahoo.com//sports/andytown-apache-welcomed-back-west-181356234.html
28,Another Downtown Disney shop closes as transformation continues,"Another Downtown Disney store has closed as the revamp of the outdoor shopping district continues. California Sole, a shoe and sandal store, closed in early May. The owners, Wayne & Cate Heck, announced the store’s closure on Instagram in late April. “It is with mixed emotions that we bid farewell to California Sole Anaheim at […]",https://news.yahoo.com//another-downtown-disney-shop-closes-181346577.html
29,"Rudy Giuliani forced to post $10,000 bond after avoiding Arizona investigators",The former mayor of New York had claimed he was hard to find because he was concerned about his safety,https://news.yahoo.com//rudy-giuliani-forced-post-10-181100692.html
30,39 red-carpet looks that have missed the mark in 2024 so far — sorry,"The 2024 awards season is in full swing. Some celebrities have pulled off daring looks this year, while others wore outfits that fell flat.",https://news.yahoo.com//entertainment/11-red-carpet-looks-missed-150739820.html
31,Culture secretary demands answers on explicit art show,"Angus Robertson says he is ""deeply concerned"" about documents obtained by BBC Scotland News.",https://news.yahoo.com//arts-funding-body-knew-axed-123144505.html
32,Chelsea show's 'most biodiverse' garden wins gold,The Size of Wales garden is thought to be the most biodiverse in the Chelsea Flower Show's history.,https://news.yahoo.com//lifestyle/chelsea-shows-most-biodiverse-garden-161718459.html
